PK_LOCALIDADE;CODIGO_REGIAO;_NOME_REGIAO;CIDADE;PAIS;ESTADO;CEP
5f3701e584ffb8e148f57a81042ba1a122b8fde5f77f3a9bb558dd64940b7c0d;1;Western;Medford;US;OR;97501
f5a60b9bc90271bc903affe1b41905f25e19eeec021c4db7a5463b54e9804f71;2;Southern;Holden;US;LA;70744
c02da3d8d2dcdb762d40cbfa3abc779512ca2bfe10e861538099d7e900588a5c;2;Southern;Cramerton;US;NC;28032
d467d757e783ddf145c169d162ab123955d871884852a17d69fc8f2d0c6017b7;4;Central;Marshfield;US;WI;54449
a988f44ba2b5b311e311adf2a8b6e2e3e3b587dc431dbf267c5dcfcb6b57bd67;4;Central;Lennox;US;SD;57039
2b834349dfa3d65843f096ec5287833c53cf237094dc2af05ba612ba0d695048;2;Southern;Louisville;US;KY;40258
b90fe334b02844b2e8a11f29b9dbcbab93f6660f54564d2d3d3b842a13cf2e49;1;Western;Breckenridge;US;CO;80424
966b9c7e5ee1448c8f5d9eea7a5ba85289cb5eb68483af1a906f8befd2e24cda;4;Central;Sidney;US;NE;69160
f74255c9d3f7728f80f02474ce4d452666375a2db37287b105127eb216d3ff07;4;Central;Des Moines;US;IA;50316
8822730a2169e0aeaa41230e3a776f38fa825d403f84c1871a951438a2f50fa5;4;Central;Independence;US;MO;64055
6ed3d8aa24fb59c2a4934414ebcb1127a5677f38cb6c987c0bd2bd2543eac65c;1;Western;Rexburg;US;ID;83440
0483c4d093ee8109ccadb830ccb32f6ae05c2f809ae5c2646c943372c5697bb9;3;Northeast;Stewartsville;US;NJ;8886
69c56f6ccd5824486a8e4896348fb4a629bb741c84cd2c970198deb86e1b8d88;4;Central;Indianapolis;US;IN;46227
d96f9668179c517767d8b91c1a7bc4b985bc8700e747b8768717de53a8b6c803;4;Central;Pontiac;US;MI;48341
098bd9544020222ba6e777cdbf66c79d955d5aa151e51d8d42c8c4d20ae0858c;2;Southern;Oak Ridge;US;TN;37830
3f7b8fed411abbc3658c00fcb76711166dc8c620d29c245f87158ca9609c86dd;5;International;00-394 Warsaw;UK;"";\"\"
416dece787e0d492ea35246fd79a1c41db460e2cdadd2a4408d6e7f34530c477;1;Western;Hayward;US;CA;94541
3a61af81884102ca2e1a912a085fb3b9e142a6afc8ab200b5e2dd5a46d1ed9dd;5;International;La Paz;UK;"";\"\"
6190ab7fcb15472229f4961c246584ffef9be395dca41f00e8f4e3694bd6b4b7;4;Central;Burnsville;US;MN;55337
13c2f80dbb07ab98844837fcda696d69f108cd5e4d4201204aa93068f5e38959;5;International;112 Reyjavik;AU;"";\"\"
b448338bba04f7f687332a9fd5953a52ee8442ca7719a6a56021c3b32e305230;0;Canada;Winnipeg;CA;MB;R3C 3B3
b16653ac58b47d9054e5e8168c079defa740c928fc51d0e71437d4f8975988d3;5;International;Bogota;UK;"";\"\"
57620af68af53d5e700c916d654ba1b4641ac12871b7ae04be9ee85c8db5e2ed;1;Western;Trinity Center;US;CA;96091
2c83288e648db60bbc8751bece1dd617b32e7f0e80cdd4f600e46de5c7f951ec;3;Northeast;Mechanicsville;US;VA;23111
89631d4ddc8b3ec2042b874df6103e96f2c7194fb7a3b2e6aae4e128961de995;3;Northeast;Medford;US;MA;2155
0984d8469c1303a7d0481728601b7fa054edbc335e950807cbfe7d51cbb0f736;4;Central;Livonia;US;MI;48151
5d72537f0908784a0035e93f0f6f7d4305ea1b1942f541b8b782e2673533a507;2;Southern;Houston;US;TX;77075
60bd985158158aef88d73c9a78edafca494029234f75cebcfbfdf0105c935ee7;3;Northeast;West Sayville;US;NY;11796
aa1d4108d5f9d42e3e816e3833fcc20a23ffd8456c25e13d327d4ec02869ea23;4;Central;Attica;US;IN;47918
bcc1bf187519eb38a96d26d8559978658f4b8e5954aa475af7b41e8ef6968549;4;Central;Chicago;US;IL;60609
010c9d3efa348f50dc76844707fe6ce1b9014a85491ca8028f5063d406e302f0;2;Southern;Laurel;US;MS;39440
bc7f6e176aa39ddbb1760348f16982e38b3e4d25da97eab8ed5438645cd27350;3;Northeast;Tonawanda;US;NY;14207
e9d006ffeb35dbeded4ee811fb89adcc3eb8708cab16d999f4dda49acef2babd;3;Northeast;Exeter;US;PA;18643
