PK_TEMPO;DIA;MES;ANO
d8611a9780571203b38d21bf45cca804148e5a61bceaeed1782b3c3dda50aa63;06;10;2017
a8589ffd5048cb8b420cd9c498c2fe5089ac145c87b253708c2fc68b5d4a675a;13;05;2018
c8424bf10ed07d5661320b9698cd47c4415ad0622e4c71250b29df916b5154fb;12;02;2019
04c8dbb9db8b418059ec02e6ad39d949978355c8af8bf83fce2d643b64c6025c;27;11;2017
efba1340f5c0110313fc04c5bc2924ad093eee27bfac47924dea5b554f8f4463;17;03;2018
8a07c7b54a5c2398ed6c1b2837fdd2021266bd234058e86fe8fc81907e05ed7b;28;06;2018
bddf8e34e943d5110a5219de1086b51d4ebb4a5273b67627f0bb70e5c2ac737e;20;01;2018
55de0833b5ce8a90d4e253cfd47f20e871a3a27a69f8e10b03966ff602c171d2;19;01;2019
937c027093b1982befa47ca17514b958ce9ba2df72e419cf5485893b2e17e905;25;09;2017
b59448ab730f1fd20a1f0a687f5c1b3f23984f1b9ca9b7d19f81daa68e35c798;19;01;2017
1a30a1fc83196b27a7209a358d5e3dcd61aaf2629820ae797e3c127789394c2c;04;01;2018
9749f23e9e75ed2a41b2917fa575f6f4d9b0ade66efa539f94f107151d7977af;16;02;2019
acbe63b94633560515c7db4ed8ba2347adce6f0e749aa4c405b0e5630cf6087c;13;12;2018
fe920b7983560c5770ee67a68cd3c137777d008b611f69124d7dda8494949f50;19;12;2017
d80254cb796124e72b8049b0cfebd64b23f5d09047efc106d9cbf4fac9811648;21;12;2017
